INST_FORMAT,SHIFT,N_IB,VWR,WORD,CONF,CU,DLB_MOV,DLB_SA,DLB_PM,ID_MOV,ID_SA,ID_PM,IU,ITT_MOV,ITT_SA,ITT_PM,MS,PCU,IB,CSDRF,Total
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,2163.4200,1.5120,0.0000,0.5040,177.1560,14.9940,41.4540,67.7880,14.6160,4.2840,5.0400,1216.4040,343.3500,3033.0719,2723.3639,7920.3597
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,2146.9140,1.5120,0.0000,0.5040,172.8720,14.9940,42.7140,67.6620,14.6160,4.2840,5.0400,1208.9700,343.3500,2860.7039,2723.3639,7731.4857
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,2140.3620,1.5120,0.0000,0.5040,168.2100,14.9940,44.2260,67.6620,14.6160,4.2840,5.0400,1205.5680,343.3500,2774.5199,2723.3639,7638.7497
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,2121.0840,1.5120,0.0000,0.5040,164.5560,14.9940,50.6520,67.6620,14.6160,4.2840,5.0400,1189.6920,343.3500,2688.3359,2723.3639,7533.2877
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,2179.1700,1.5120,0.0000,0.5040,178.2900,14.9940,41.4540,67.7880,14.6160,4.2840,5.0400,1226.3580,344.3580,3205.4399,2723.3639,8108.4777
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,2161.2780,1.5120,0.0000,0.5040,177.1560,14.9940,42.7140,67.7880,14.6160,4.2840,5.0400,1212.6240,343.3500,3033.0719,2723.3639,7918.2177
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,2151.3240,1.5120,0.0000,0.5040,172.8720,14.9940,44.2260,67.6620,14.6160,4.2840,5.0400,1208.9700,343.3500,2860.7039,2723.3639,7735.8957
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,2149.9380,1.5120,0.0000,0.5040,168.2100,14.9940,50.6520,67.7880,14.6160,4.2840,5.0400,1205.5680,343.3500,2860.7039,2723.3639,7734.5097
base,7,32,16384,192,base_S7_IB32_VWR16384_WORD192,2194.4160,1.5120,0.0000,0.5040,181.3140,14.9940,41.4540,67.6620,14.6160,4.2840,5.0400,1235.5560,344.1060,3377.8079,2723.3639,8296.0917
base,7,32,16384,384,base_S7_IB32_VWR16384_WORD384,2183.9580,1.5120,0.0000,0.5040,178.2900,14.9940,42.7140,67.7880,14.6160,4.2840,5.0400,1226.8620,344.3580,3205.4399,2723.3639,8113.2657
base,7,32,16384,768,base_S7_IB32_VWR16384_WORD768,2162.5380,1.5120,0.0000,0.5040,177.1560,14.9940,44.2260,67.7880,14.6160,4.2840,5.0400,1209.7260,343.3500,3033.0719,2723.3639,7919.4777
base,7,32,16384,1536,base_S7_IB32_VWR16384_WORD1536,2160.5220,1.5120,0.0000,0.5040,172.8720,14.9940,50.6520,67.7880,14.6160,4.2840,5.0400,1207.8360,344.1060,2948.3999,2723.3639,7832.7897
base,7,64,4096,192,base_S7_IB64_VWR4096_WORD192,2163.2940,1.5120,0.0000,0.5040,175.6440,14.9940,41.4540,74.3400,14.6160,4.2840,5.0400,1213.6320,340.9560,6220.1157,5428.2058,13815.1435
base,7,64,4096,384,base_S7_IB64_VWR4096_WORD384,2151.0720,1.5120,0.0000,0.5040,171.3600,14.9940,42.7140,73.8360,14.6160,4.2840,5.0400,1208.9700,340.2000,5874.7498,5433.2458,13462.5955
