INST_FORMAT,SHIFT,N_IB,VWR,WORD,CONF,TEST_INSTR,CU,DLB_MOV,DLB_SA,DLB_PM,ID_MOV,ID_SA,ID_PM,IU,ITT_MOV,ITT_SA,ITT_PM,MS,PCU,IB,CSDRF,Internal,Switching,Leakage,Total
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,IDLE,2.27e-04,7.48e-08,0.000,2.49e-08,1.21e-05,4.70e-07,1.36e-06,2.54e-06,5.35e-07,1.25e-07,1.92e-07,1.54e-04,1.70e-05,1.49e-04,1.26e-04,1.757e-04,1.198e-07,3.257e-04,5.016e-04
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,WRF_CSDLEN_LOOP,2.43e-04,7.48e-08,0.000,2.49e-08,1.21e-05,4.70e-07,1.36e-06,4.70e-06,5.35e-07,1.25e-07,1.92e-07,1.58e-04,2.67e-05,1.48e-04,1.26e-04,1.877e-04,3.381e-06,3.260e-04,5.171e-04
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,WRF_IB,2.80e-04,7.48e-08,0.000,2.49e-08,1.34e-05,4.70e-07,1.36e-06,5.25e-05,5.35e-07,1.25e-07,1.92e-07,1.54e-04,1.70e-05,4.58e-04,2.49e-04,5.481e-04,5.115e-05,3.873e-04,9.866e-04
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,WRF_CSD,2.44e-04,7.48e-08,0.000,2.49e-08,1.33e-05,4.70e-07,1.36e-06,1.87e-05,5.35e-07,1.25e-07,1.92e-07,1.54e-04,1.70e-05,2.24e-04,2.29e-04,3.379e-04,2.208e-05,3.380e-04,6.979e-04
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,NOP,2.90e-04,2.10e-07,0.000,2.50e-08,2.32e-05,4.70e-07,1.36e-06,2.52e-06,1.03e-06,1.76e-07,2.29e-07,1.54e-04,3.91e-05,1.61e-04,1.26e-04,2.283e-04,1.730e-05,3.320e-04,5.776e-04
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,RLB,3.07e-04,3.62e-07,0.000,3.64e-07,2.65e-05,4.70e-07,3.02e-06,2.40e-06,4.53e-06,5.99e-07,1.78e-06,1.54e-04,3.57e-05,1.74e-04,1.26e-04,2.282e-04,3.311e-05,3.450e-04,6.064e-04
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,WLB,3.13e-04,6.40e-07,0.000,2.50e-08,2.91e-05,4.70e-07,1.36e-06,2.43e-06,3.17e-06,3.49e-07,3.38e-07,1.54e-04,4.15e-05,1.80e-04,1.26e-04,2.443e-04,2.968e-05,3.453e-04,6.194e-04
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,VMV,3.10e-04,5.37e-07,0.000,2.50e-08,2.87e-05,4.70e-07,1.36e-06,2.57e-06,2.01e-06,3.04e-07,2.73e-07,1.54e-04,3.93e-05,1.79e-04,1.26e-04,2.437e-04,2.711e-05,3.445e-04,6.154e-04
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,SHIFT,3.52e-04,5.92e-07,0.000,1.52e-07,3.73e-05,4.21e-06,2.26e-06,2.65e-06,3.54e-06,1.11e-06,1.18e-06,1.54e-04,4.11e-05,2.11e-04,1.26e-04,2.750e-04,4.798e-05,3.667e-04,6.897e-04
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,ADD,3.50e-04,7.17e-07,0.000,2.50e-08,3.81e-05,4.30e-06,1.36e-06,2.66e-06,4.25e-06,1.74e-06,6.74e-07,1.54e-04,4.03e-05,2.12e-04,1.26e-04,2.749e-04,4.695e-05,3.675e-04,6.893e-04
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,MUL,3.60e-04,1.70e-07,0.000,1.74e-07,2.51e-05,3.74e-06,6.15e-06,2.48e-06,1.71e-06,3.61e-07,1.05e-06,2.35e-04,2.41e-05,1.94e-04,1.33e-04,2.524e-04,6.133e-05,3.729e-04,6.867e-04
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,PACK,3.60e-04,1.20e-06,0.000,3.77e-07,3.78e-05,4.70e-07,2.32e-05,2.63e-06,4.94e-06,5.57e-07,1.88e-06,1.54e-04,4.01e-05,2.06e-04,1.35e-04,2.778e-04,6.089e-05,3.627e-04,7.014e-04
base,7,32,4096,192,base_S7_IB32_VWR4096_WORD192,EXIT,2.70e-04,7.48e-08,0.000,2.50e-08,1.22e-05,4.70e-07,1.36e-06,2.52e-06,5.24e-07,9.38e-08,1.67e-07,1.54e-04,3.26e-05,1.48e-04,1.26e-04,2.143e-04,4.240e-06,3.257e-04,5.443e-04
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,IDLE,2.24e-04,7.48e-08,0.000,2.49e-08,1.21e-05,4.70e-07,1.35e-06,2.54e-06,5.35e-07,1.25e-07,1.92e-07,1.51e-04,1.70e-05,1.41e-04,1.26e-04,1.740e-04,1.187e-07,3.174e-04,4.915e-04
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,WRF_CSDLEN_LOOP,2.40e-04,7.48e-08,0.000,2.49e-08,1.21e-05,4.70e-07,1.35e-06,4.68e-06,5.35e-07,1.25e-07,1.92e-07,1.56e-04,2.67e-05,1.41e-04,1.26e-04,1.862e-04,3.431e-06,3.177e-04,5.074e-04
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,WRF_IB,2.74e-04,7.48e-08,0.000,2.49e-08,1.34e-05,4.70e-07,1.35e-06,5.01e-05,5.35e-07,1.25e-07,1.92e-07,1.52e-04,1.70e-05,4.33e-04,2.45e-04,5.276e-04,4.860e-05,3.756e-04,9.518e-04
base,7,32,4096,384,base_S7_IB32_VWR4096_WORD384,WRF_CSD,2.42e-04,7.48e-08,0.000,2.49e-08,1.33e-05,4.70e-07,1.35e-06,1.87e-05,5.35e-07,1.25e-07,1.92e-07,1.52e-04,1.70e-05,2.17e-04,2.30e-04,3.362e-04,2.207e-05,3.298e-04,6.881e-04
